ID;NM_CLI;PROD;CD_U;NM_FULL;GROUP_NM_RUS;MARK;Cosine_comp_NM;Number_comp_NM;N_index_comp_NM;Word_eq_ru_NM;Every_word_mectric_NM;Levenshtein_metric_NM;Cosine_comp_PROD;Word_eq_ru_PROD;Every_word_metric_PROD;Levenshtein_metric_PROD
35648680;ДИВИНА ТАБ.№21 ORION (ФИНЛЯНДИЯ);;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.5503338836674923;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
132442230;ДИВИНА ТАБ. №21;ORION - ФИНЛЯНДИЯ (ФИНЛЯНДИЯ);2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.3611575592573077;1.0;1.0;1.0
131278490;ДИВИНА ТАБЛ. N21;ORION CORPORATION;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.6299407883487123;1.0;1.0;1.0;1.0;1.0;0.8198915917499229;1.0;1.0;1.0
131314565;ДИВИНА ТАБ. №21;ORION;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;1.0000000000000002;1.0;1.0;1.0
131293878;ДИВИНА ТАБ. №21;ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
131480873;ДИВИНА ТАБ УП КОНТ ЯЧ №21;ОРИОН КОРПОРЕЙШН ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.5527707983925666;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
131480872;ДИВИНА ТАБ №21;ОРИОН КОРПОРЕЙШН ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
133207702;ДИВИНА 10МГ+2МГ И 2МГ №21 ТАБ.;ОРИОН КОРПОРЕЙШН ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.40994579587496144;0.5;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
91438952;ДИВИНА ТАБ. №21;ОРИОН КОРПОРЕЙШН, ЭСПОО, ФИНЛЯНДИЯ;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
88084250;ДИВИНА ТАБ. №21;ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
88151795;ДИВИНА ТАБ УП КОНТ ЯЧ №21;ОРИОН КОРПОРЕЙШН ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.5527707983925666;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
87958594;ДИВИНА ТАБ. №21;ORION - ФИНЛЯНДИЯ (ФИНЛЯНДИЯ);2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.3611575592573077;1.0;1.0;1.0
86571149;ДИВИНА ТАБ №21;ОРИОН КОРПОРЕЙШН;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
86214701;ДИВИНА №21 ТАБ,;ORION PHARMA ( ОРИОН );2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.5619514869490164;1.0;1.0;1.0
85974211;ДИВИНА ТАБЛ КОР X21;ОРИОН КОРПОРЕЙШН ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.6666666666666669;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
85834480;ДИВИНА №21 ТАБ.;ОРИОН КОРПОРЕЙШН ОРИОН ФАРМА;2;ДИВИНА ТБ НАБОР №21;ORION;1;0.7817359599705717;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0
